facility_id,facility_name,facility_type,address,city,state,zip_code,bed_capacity
42,Dallas Diagnostic Center #42,Diagnostic Center,9091 Health Parkway,Dallas,TX,75201,723
43,San Antonio Urgent Care #43,Urgent Care,5240 Health Parkway,San Antonio,TX,78201,242
44,Seattle Urgent Care #44,Urgent Care,9595 Health Parkway,Seattle,WA,98101,430
45,Philadelphia General Hospital #45,General Hospital,772 Health Parkway,Philadelphia,PA,19101,701
46,San Jose Diagnostic Center #46,Diagnostic Center,7094 Health Parkway,San Jose,CA,95101,604
47,New York General Hospital #47,General Hospital,118 Health Parkway,New York,NY,10001,536
48,Seattle Specialty Clinic #48,Specialty Clinic,6063 Health Parkway,Seattle,WA,98101,669
49,Houston Diagnostic Center #49,Diagnostic Center,5001 Health Parkway,Houston,TX,77001,790
50,Phoenix General Hospital #50,General Hospital,171 Health Parkway,Phoenix,AZ,85001,572
51,New York General Hospital #51,General Hospital,4702 Health Parkway,New York,NY,10001,146
52,Austin Urgent Care #52,Urgent Care,7585 Health Parkway,Austin,TX,78701,333
53,Houston Urgent Care #53,Urgent Care,9423 Health Parkway,Houston,TX,77001,687
54,Denver Specialty Clinic #54,Specialty Clinic,970 Health Parkway,Denver,CO,80201,33
55,Austin Diagnostic Center #55,Diagnostic Center,5868 Health Parkway,Austin,TX,78701,32
56,Los Angeles General Hospital #56,General Hospital,6816 Health Parkway,Los Angeles,CA,90001,731
57,Boston General Hospital #57,General Hospital,6308 Health Parkway,Boston,MA,02101,353
58,Dallas Urgent Care #58,Urgent Care,190 Health Parkway,Dallas,TX,75201,568
59,San Jose Diagnostic Center #59,Diagnostic Center,2889 Health Parkway,San Jose,CA,95101,186
60,San Diego Diagnostic Center #60,Diagnostic Center,9168 Health Parkway,San Diego,CA,92101,800
61,Chicago Diagnostic Center #61,Diagnostic Center,8005 Health Parkway,Chicago,IL,60601,72
62,Chicago Diagnostic Center #62,Diagnostic Center,4795 Health Parkway,Chicago,IL,60601,254
63,Austin Urgent Care #63,Urgent Care,4516 Health Parkway,Austin,TX,78701,486
64,Phoenix Urgent Care #64,Urgent Care,5156 Health Parkway,Phoenix,AZ,85001,724
65,Phoenix Urgent Care #65,Urgent Care,454 Health Parkway,Phoenix,AZ,85001,152
66,Phoenix Specialty Clinic #66,Specialty Clinic,9382 Health Parkway,Phoenix,AZ,85001,494
67,New York General Hospital #67,General Hospital,4702 Health Parkway,New York,NY,10001,565
68,Philadelphia Urgent Care #68,Urgent Care,272 Health Parkway,Philadelphia,PA,19101,92
69,Boston Diagnostic Center #69,Diagnostic Center,9741 Health Parkway,Boston,MA,02101,264
70,Denver Urgent Care #70,Urgent Care,9389 Health Parkway,Denver,CO,80201,397
71,Boston General Hospital #71,General Hospital,2067 Health Parkway,Boston,MA,02101,327
72,Denver Specialty Clinic #72,Specialty Clinic,8927 Health Parkway,Denver,CO,80201,152
73,Houston Diagnostic Center #73,Diagnostic Center,6491 Health Parkway,Houston,TX,77001,482
74,Houston Diagnostic Center #74,Diagnostic Center,7844 Health Parkway,Houston,TX,77001,490
75,Chicago Specialty Clinic #75,Specialty Clinic,7054 Health Parkway,Chicago,IL,60601,18
76,San Antonio General Hospital #76,General Hospital,8026 Health Parkway,San Antonio,TX,78201,116
77,Denver Diagnostic Center #77,Diagnostic Center,2426 Health Parkway,Denver,CO,80201,549
78,Houston Specialty Clinic #78,Specialty Clinic,9128 Health Parkway,Houston,TX,77001,147
79,Houston Specialty Clinic #79,Specialty Clinic,6120 Health Parkway,Houston,TX,77001,318
80,New York Urgent Care #80,Urgent Care,7376 Health Parkway,New York,NY,10001,441
81,Philadelphia Diagnostic Center #81,Diagnostic Center,7338 Health Parkway,Philadelphia,PA,19101,521
82,New York Specialty Clinic #82,Specialty Clinic,9921 Health Parkway,New York,NY,10001,496
83,San Diego Specialty Clinic #83,Specialty Clinic,5189 Health Parkway,San Diego,CA,92101,454
84,Austin Urgent Care #84,Urgent Care,7490 Health Parkway,Austin,TX,78701,179
85,Chicago General Hospital #85,General Hospital,1063 Health Parkway,Chicago,IL,60601,100
86,Boston Specialty Clinic #86,Specialty Clinic,502 Health Parkway,Boston,MA,02101,610
87,Los Angeles Specialty Clinic #87,Specialty Clinic,9862 Health Parkway,Los Angeles,CA,90001,420
88,Chicago Urgent Care #88,Urgent Care,3870 Health Parkway,Chicago,IL,60601,259
89,Denver General Hospital #89,General Hospital,2225 Health Parkway,Denver,CO,80201,619
90,Dallas Specialty Clinic #90,Specialty Clinic,5178 Health Parkway,Dallas,TX,75201,567
91,Jacksonville General Hospital #91,General Hospital,6416 Health Parkway,Jacksonville,FL,32201,735
92,Jacksonville Diagnostic Center #92,Diagnostic Center,1640 Health Parkway,Jacksonville,FL,32201,758
93,Boston Diagnostic Center #93,Diagnostic Center,224 Health Parkway,Boston,MA,02101,253
94,Dallas Diagnostic Center #94,Diagnostic Center,6654 Health Parkway,Dallas,TX,75201,521
95,San Antonio General Hospital #95,General Hospital,1569 Health Parkway,San Antonio,TX,78201,294
96,Phoenix Specialty Clinic #96,Specialty Clinic,5313 Health Parkway,Phoenix,AZ,85001,560
97,Los Angeles Urgent Care #97,Urgent Care,5234 Health Parkway,Los Angeles,CA,90001,175
98,Jacksonville Specialty Clinic #98,Specialty Clinic,630 Health Parkway,Jacksonville,FL,32201,295
99,San Diego Diagnostic Center #99,Diagnostic Center,7473 Health Parkway,San Diego,CA,92101,61
100,Phoenix Specialty Clinic #100,Specialty Clinic,9130 Health Parkway,Phoenix,AZ,85001,681
101,San Jose Specialty Clinic #101,Specialty Clinic,9850 Health Parkway,San Jose,CA,95101,140
102,Philadelphia Specialty Clinic #102,Specialty Clinic,5916 Health Parkway,Philadelphia,PA,19101,108
103,Los Angeles Diagnostic Center #103,Diagnostic Center,6863 Health Parkway,Los Angeles,CA,90001,170
104,Dallas General Hospital #104,General Hospital,2871 Health Parkway,Dallas,TX,75201,124
105,Boston General Hospital #105,General Hospital,9749 Health Parkway,Boston,MA,02101,26
106,Austin Specialty Clinic #106,Specialty Clinic,1804 Health Parkway,Austin,TX,78701,334
107,Denver General Hospital #107,General Hospital,2717 Health Parkway,Denver,CO,80201,199
108,Denver Diagnostic Center #108,Diagnostic Center,9111 Health Parkway,Denver,CO,80201,725
109,Los Angeles Urgent Care #109,Urgent Care,508 Health Parkway,Los Angeles,CA,90001,370
110,Seattle Specialty Clinic #110,Specialty Clinic,309 Health Parkway,Seattle,WA,98101,539
111,Phoenix Urgent Care #111,Urgent Care,8378 Health Parkway,Phoenix,AZ,85001,755
112,Jacksonville Specialty Clinic #112,Specialty Clinic,6132 Health Parkway,Jacksonville,FL,32201,647
113,Los Angeles Urgent Care #113,Urgent Care,2942 Health Parkway,Los Angeles,CA,90001,319
114,Denver Specialty Clinic #114,Specialty Clinic,7241 Health Parkway,Denver,CO,80201,797
115,Dallas Specialty Clinic #115,Specialty Clinic,1057 Health Parkway,Dallas,TX,75201,728
116,Philadelphia Urgent Care #116,Urgent Care,3077 Health Parkway,Philadelphia,PA,19101,554
117,Phoenix Diagnostic Center #117,Diagnostic Center,3658 Health Parkway,Phoenix,AZ,85001,466
118,Houston General Hospital #118,General Hospital,6551 Health Parkway,Houston,TX,77001,782
119,Dallas Urgent Care #119,Urgent Care,5277 Health Parkway,Dallas,TX,75201,638
120,Philadelphia Diagnostic Center #120,Diagnostic Center,5633 Health Parkway,Philadelphia,PA,19101,710
121,Seattle Specialty Clinic #121,Specialty Clinic,265 Health Parkway,Seattle,WA,98101,749
122,Austin Specialty Clinic #122,Specialty Clinic,5778 Health Parkway,Austin,TX,78701,792
123,Phoenix Urgent Care #123,Urgent Care,4066 Health Parkway,Phoenix,AZ,85001,247
124,Dallas Diagnostic Center #124,Diagnostic Center,8903 Health Parkway,Dallas,TX,75201,432
125,Chicago Diagnostic Center #125,Diagnostic Center,3878 Health Parkway,Chicago,IL,60601,363
126,Austin Specialty Clinic #126,Specialty Clinic,7560 Health Parkway,Austin,TX,78701,555
127,Jacksonville Diagnostic Center #127,Diagnostic Center,5787 Health Parkway,Jacksonville,FL,32201,118
128,Houston Urgent Care #128,Urgent Care,9209 Health Parkway,Houston,TX,77001,339
129,Dallas Urgent Care #129,Urgent Care,9794 Health Parkway,Dallas,TX,75201,106
130,New York Diagnostic Center #130,Diagnostic Center,6189 Health Parkway,New York,NY,10001,550
131,San Antonio Specialty Clinic #131,Specialty Clinic,2607 Health Parkway,San Antonio,TX,78201,734
132,Chicago Specialty Clinic #132,Specialty Clinic,9487 Health Parkway,Chicago,IL,60601,290
133,New York Diagnostic Center #133,Diagnostic Center,3944 Health Parkway,New York,NY,10001,718
134,Austin Urgent Care #134,Urgent Care,2338 Health Parkway,Austin,TX,78701,361
135,Boston Urgent Care #135,Urgent Care,3465 Health Parkway,Boston,MA,02101,107
136,San Jose Specialty Clinic #136,Specialty Clinic,4164 Health Parkway,San Jose,CA,95101,563
137,Los Angeles Diagnostic Center #137,Diagnostic Center,7973 Health Parkway,Los Angeles,CA,90001,113
138,Jacksonville Diagnostic Center #138,Diagnostic Center,4238 Health Parkway,Jacksonville,FL,32201,780
139,San Diego Urgent Care #139,Urgent Care,5313 Health Parkway,San Diego,CA,92101,500
140,Phoenix Specialty Clinic #140,Specialty Clinic,2957 Health Parkway,Phoenix,AZ,85001,58
141,San Diego Urgent Care #141,Urgent Care,4355 Health Parkway,San Diego,CA,92101,223
142,Dallas Diagnostic Center #142,Diagnostic Center,1044 Health Parkway,Dallas,TX,75201,642
143,Phoenix Specialty Clinic #143,Specialty Clinic,3864 Health Parkway,Phoenix,AZ,85001,573
144,Boston Diagnostic Center #144,Diagnostic Center,8848 Health Parkway,Boston,MA,02101,90
145,San Diego Diagnostic Center #145,Diagnostic Center,4308 Health Parkway,San Diego,CA,92101,342
146,New York Specialty Clinic #146,Specialty Clinic,6972 Health Parkway,New York,NY,10001,722
147,Houston General Hospital #147,General Hospital,6403 Health Parkway,Houston,TX,77001,501
148,Denver Urgent Care #148,Urgent Care,7619 Health Parkway,Denver,CO,80201,531
149,Denver Diagnostic Center #149,Diagnostic Center,5048 Health Parkway,Denver,CO,80201,777
150,San Jose Urgent Care #150,Urgent Care,6036 Health Parkway,San Jose,CA,95101,153
151,Los Angeles Specialty Clinic #151,Specialty Clinic,4518 Health Parkway,Los Angeles,CA,90001,717
152,Chicago Diagnostic Center #152,Diagnostic Center,5930 Health Parkway,Chicago,IL,60601,485
153,Houston Specialty Clinic #153,Specialty Clinic,7971 Health Parkway,Houston,TX,77001,499
154,Seattle Specialty Clinic #154,Specialty Clinic,5521 Health Parkway,Seattle,WA,98101,73
155,San Jose Specialty Clinic #155,Specialty Clinic,1583 Health Parkway,San Jose,CA,95101,541
156,Philadelphia Specialty Clinic #156,Specialty Clinic,5969 Health Parkway,Philadelphia,PA,19101,720
157,San Jose Urgent Care #157,Urgent Care,8713 Health Parkway,San Jose,CA,95101,462
158,Los Angeles General Hospital #158,General Hospital,3840 Health Parkway,Los Angeles,CA,90001,598
159,Austin Specialty Clinic #159,Specialty Clinic,502 Health Parkway,Austin,TX,78701,418
160,New York General Hospital #160,General Hospital,9801 Health Parkway,New York,NY,10001,453
161,Houston Diagnostic Center #161,Diagnostic Center,6525 Health Parkway,Houston,TX,77001,698
162,Seattle General Hospital #162,General Hospital,762 Health Parkway,Seattle,WA,98101,18
163,New York Urgent Care #163,Urgent Care,9887 Health Parkway,New York,NY,10001,567
164,Seattle General Hospital #164,General Hospital,5260 Health Parkway,Seattle,WA,98101,239
165,Houston Urgent Care #165,Urgent Care,3881 Health Parkway,Houston,TX,77001,380
166,San Antonio Urgent Care #166,Urgent Care,9612 Health Parkway,San Antonio,TX,78201,196
167,Austin General Hospital #167,General Hospital,2575 Health Parkway,Austin,TX,78701,757
168,Los Angeles General Hospital #168,General Hospital,7870 Health Parkway,Los Angeles,CA,90001,450
169,San Antonio Urgent Care #169,Urgent Care,5799 Health Parkway,San Antonio,TX,78201,542
170,San Diego Diagnostic Center #170,Diagnostic Center,9913 Health Parkway,San Diego,CA,92101,601
171,San Jose General Hospital #171,General Hospital,1783 Health Parkway,San Jose,CA,95101,683
172,Boston Diagnostic Center #172,Diagnostic Center,8770 Health Parkway,Boston,MA,02101,422
173,Dallas Specialty Clinic #173,Specialty Clinic,1595 Health Parkway,Dallas,TX,75201,73
174,Austin Specialty Clinic #174,Specialty Clinic,1940 Health Parkway,Austin,TX,78701,418
175,Chicago General Hospital #175,General Hospital,2495 Health Parkway,Chicago,IL,60601,515
176,Austin Diagnostic Center #176,Diagnostic Center,7319 Health Parkway,Austin,TX,78701,376
177,Philadelphia Diagnostic Center #177,Diagnostic Center,9197 Health Parkway,Philadelphia,PA,19101,189
178,Denver Specialty Clinic #178,Specialty Clinic,4982 Health Parkway,Denver,CO,80201,282
179,Chicago Diagnostic Center #179,Diagnostic Center,5334 Health Parkway,Chicago,IL,60601,427
180,New York Urgent Care #180,Urgent Care,5288 Health Parkway,New York,NY,10001,239
181,San Antonio Specialty Clinic #181,Specialty Clinic,3006 Health Parkway,San Antonio,TX,78201,82
182,New York Diagnostic Center #182,Diagnostic Center,5618 Health Parkway,New York,NY,10001,287
183,Philadelphia Specialty Clinic #183,Specialty Clinic,7559 Health Parkway,Philadelphia,PA,19101,598
184,Houston Urgent Care #184,Urgent Care,199 Health Parkway,Houston,TX,77001,718
185,Phoenix General Hospital #185,General Hospital,9096 Health Parkway,Phoenix,AZ,85001,583
186,Los Angeles Urgent Care #186,Urgent Care,2140 Health Parkway,Los Angeles,CA,90001,233
187,Austin Diagnostic Center #187,Diagnostic Center,4615 Health Parkway,Austin,TX,78701,789
188,San Antonio Specialty Clinic #188,Specialty Clinic,7605 Health Parkway,San Antonio,TX,78201,678
189,Jacksonville Diagnostic Center #189,Diagnostic Center,4258 Health Parkway,Jacksonville,FL,32201,181
190,Los Angeles General Hospital #190,General Hospital,4280 Health Parkway,Los Angeles,CA,90001,98
191,Phoenix Specialty Clinic #191,Specialty Clinic,7919 Health Parkway,Phoenix,AZ,85001,18
192,Austin Urgent Care #192,Urgent Care,2548 Health Parkway,Austin,TX,78701,672
193,Dallas Urgent Care #193,Urgent Care,766 Health Parkway,Dallas,TX,75201,380
194,New York General Hospital #194,General Hospital,4489 Health Parkway,New York,NY,10001,664
195,Phoenix Urgent Care #195,Urgent Care,9402 Health Parkway,Phoenix,AZ,85001,398
196,Los Angeles Urgent Care #196,Urgent Care,286 Health Parkway,Los Angeles,CA,90001,602
197,San Antonio Diagnostic Center #197,Diagnostic Center,9820 Health Parkway,San Antonio,TX,78201,454
198,Houston Diagnostic Center #198,Diagnostic Center,6714 Health Parkway,Houston,TX,77001,667
199,Philadelphia General Hospital #199,General Hospital,4762 Health Parkway,Philadelphia,PA,19101,349
200,San Diego Specialty Clinic #200,Specialty Clinic,7237 Health Parkway,San Diego,CA,92101,137
201,Denver General Hospital #201,General Hospital,6505 Health Parkway,Denver,CO,80201,779
202,Boston General Hospital #202,General Hospital,8917 Health Parkway,Boston,MA,02101,367
203,Jacksonville Urgent Care #203,Urgent Care,5328 Health Parkway,Jacksonville,FL,32201,12
204,Dallas Diagnostic Center #204,Diagnostic Center,8908 Health Parkway,Dallas,TX,75201,53
205,Los Angeles Urgent Care #205,Urgent Care,252 Health Parkway,Los Angeles,CA,90001,611
206,San Diego General Hospital #206,General Hospital,8062 Health Parkway,San Diego,CA,92101,136
207,New York Diagnostic Center #207,Diagnostic Center,797 Health Parkway,New York,NY,10001,482
208,Phoenix Diagnostic Center #208,Diagnostic Center,8119 Health Parkway,Phoenix,AZ,85001,455
209,Denver Diagnostic Center #209,Diagnostic Center,6420 Health Parkway,Denver,CO,80201,22
210,Denver Diagnostic Center #210,Diagnostic Center,4871 Health Parkway,Denver,CO,80201,358
211,Dallas Urgent Care #211,Urgent Care,7461 Health Parkway,Dallas,TX,75201,113
212,Dallas Diagnostic Center #212,Diagnostic Center,7243 Health Parkway,Dallas,TX,75201,278
213,Los Angeles Specialty Clinic #213,Specialty Clinic,1483 Health Parkway,Los Angeles,CA,90001,203
214,San Antonio General Hospital #214,General Hospital,3663 Health Parkway,San Antonio,TX,78201,248
215,Houston Diagnostic Center #215,Diagnostic Center,1702 Health Parkway,Houston,TX,77001,368
216,San Antonio General Hospital #216,General Hospital,6805 Health Parkway,San Antonio,TX,78201,158
217,Phoenix Diagnostic Center #217,Diagnostic Center,2456 Health Parkway,Phoenix,AZ,85001,742
218,Chicago Specialty Clinic #218,Specialty Clinic,5868 Health Parkway,Chicago,IL,60601,328
219,Houston Specialty Clinic #219,Specialty Clinic,4411 Health Parkway,Houston,TX,77001,750
220,Seattle Urgent Care #220,Urgent Care,6456 Health Parkway,Seattle,WA,98101,284
221,Los Angeles Specialty Clinic #221,Specialty Clinic,7623 Health Parkway,Los Angeles,CA,90001,140
222,Dallas Specialty Clinic #222,Specialty Clinic,8445 Health Parkway,Dallas,TX,75201,123
223,Dallas Urgent Care #223,Urgent Care,5955 Health Parkway,Dallas,TX,75201,482
224,San Diego Specialty Clinic #224,Specialty Clinic,5972 Health Parkway,San Diego,CA,92101,215
225,Phoenix Urgent Care #225,Urgent Care,6813 Health Parkway,Phoenix,AZ,85001,679
226,San Jose Diagnostic Center #226,Diagnostic Center,4240 Health Parkway,San Jose,CA,95101,282
227,Denver Specialty Clinic #227,Specialty Clinic,4913 Health Parkway,Denver,CO,80201,643
228,Houston Diagnostic Center #228,Diagnostic Center,9232 Health Parkway,Houston,TX,77001,104
229,Dallas Specialty Clinic #229,Specialty Clinic,6563 Health Parkway,Dallas,TX,75201,530
230,Philadelphia Diagnostic Center #230,Diagnostic Center,1761 Health Parkway,Philadelphia,PA,19101,334
231,Seattle General Hospital #231,General Hospital,9244 Health Parkway,Seattle,WA,98101,352
232,San Antonio Urgent Care #232,Urgent Care,8544 Health Parkway,San Antonio,TX,78201,336
233,Denver Specialty Clinic #233,Specialty Clinic,6534 Health Parkway,Denver,CO,80201,480
234,Denver Diagnostic Center #234,Diagnostic Center,5731 Health Parkway,Denver,CO,80201,775
235,Houston Urgent Care #235,Urgent Care,3147 Health Parkway,Houston,TX,77001,607
236,Denver Diagnostic Center #236,Diagnostic Center,3205 Health Parkway,Denver,CO,80201,363
237,San Diego Specialty Clinic #237,Specialty Clinic,4863 Health Parkway,San Diego,CA,92101,665
238,San Antonio General Hospital #238,General Hospital,1990 Health Parkway,San Antonio,TX,78201,142
239,Los Angeles Diagnostic Center #239,Diagnostic Center,6790 Health Parkway,Los Angeles,CA,90001,495
240,San Jose Specialty Clinic #240,Specialty Clinic,3976 Health Parkway,San Jose,CA,95101,169
241,Chicago Diagnostic Center #241,Diagnostic Center,1148 Health Parkway,Chicago,IL,60601,380
242,Denver Diagnostic Center #242,Diagnostic Center,5272 Health Parkway,Denver,CO,80201,332
243,Houston General Hospital #243,General Hospital,6522 Health Parkway,Houston,TX,77001,224
244,Denver Diagnostic Center #244,Diagnostic Center,2224 Health Parkway,Denver,CO,80201,172
245,Austin General Hospital #245,General Hospital,180 Health Parkway,Austin,TX,78701,344
246,Austin Diagnostic Center #246,Diagnostic Center,8277 Health Parkway,Austin,TX,78701,781
247,Philadelphia General Hospital #247,General Hospital,8787 Health Parkway,Philadelphia,PA,19101,305
248,Los Angeles General Hospital #248,General Hospital,835 Health Parkway,Los Angeles,CA,90001,610
249,Phoenix General Hospital #249,General Hospital,9589 Health Parkway,Phoenix,AZ,85001,135
250,Jacksonville Diagnostic Center #250,Diagnostic Center,2622 Health Parkway,Jacksonville,FL,32201,435
251,San Antonio Diagnostic Center #251,Diagnostic Center,9551 Health Parkway,San Antonio,TX,78201,447
252,Seattle General Hospital #252,General Hospital,3484 Health Parkway,Seattle,WA,98101,151
253,San Diego General Hospital #253,General Hospital,1815 Health Parkway,San Diego,CA,92101,522
254,San Jose General Hospital #254,General Hospital,9880 Health Parkway,San Jose,CA,95101,387
255,Philadelphia General Hospital #255,General Hospital,5039 Health Parkway,Philadelphia,PA,19101,377
256,Dallas Diagnostic Center #256,Diagnostic Center,6589 Health Parkway,Dallas,TX,75201,564
257,San Diego General Hospital #257,General Hospital,1018 Health Parkway,San Diego,CA,92101,507
258,New York General Hospital #258,General Hospital,4423 Health Parkway,New York,NY,10001,153
259,Austin Urgent Care #259,Urgent Care,3936 Health Parkway,Austin,TX,78701,327
260,Boston Specialty Clinic #260,Specialty Clinic,705 Health Parkway,Boston,MA,02101,784
261,Houston Diagnostic Center #261,Diagnostic Center,8467 Health Parkway,Houston,TX,77001,303
262,Houston General Hospital #262,General Hospital,1439 Health Parkway,Houston,TX,77001,557
263,Jacksonville Diagnostic Center #263,Diagnostic Center,7408 Health Parkway,Jacksonville,FL,32201,393
264,Phoenix Diagnostic Center #264,Diagnostic Center,1838 Health Parkway,Phoenix,AZ,85001,343
265,Houston Urgent Care #265,Urgent Care,2101 Health Parkway,Houston,TX,77001,10
266,Houston Specialty Clinic #266,Specialty Clinic,2337 Health Parkway,Houston,TX,77001,98
267,Denver Specialty Clinic #267,Specialty Clinic,7307 Health Parkway,Denver,CO,80201,692
268,San Diego General Hospital #268,General Hospital,441 Health Parkway,San Diego,CA,92101,347
269,Chicago Specialty Clinic #269,Specialty Clinic,3916 Health Parkway,Chicago,IL,60601,97
270,New York Diagnostic Center #270,Diagnostic Center,257 Health Parkway,New York,NY,10001,394
271,San Jose General Hospital #271,General Hospital,786 Health Parkway,San Jose,CA,95101,53
272,Philadelphia Specialty Clinic #272,Specialty Clinic,4948 Health Parkway,Philadelphia,PA,19101,52
273,San Jose Specialty Clinic #273,Specialty Clinic,7929 Health Parkway,San Jose,CA,95101,786
274,Boston Diagnostic Center #274,Diagnostic Center,6421 Health Parkway,Boston,MA,02101,698
275,Los Angeles Specialty Clinic #275,Specialty Clinic,1436 Health Parkway,Los Angeles,CA,90001,192
276,Philadelphia Urgent Care #276,Urgent Care,8082 Health Parkway,Philadelphia,PA,19101,587
277,San Diego Urgent Care #277,Urgent Care,8170 Health Parkway,San Diego,CA,92101,94
278,San Antonio General Hospital #278,General Hospital,4277 Health Parkway,San Antonio,TX,78201,167
279,Jacksonville Diagnostic Center #279,Diagnostic Center,5661 Health Parkway,Jacksonville,FL,32201,736
280,Chicago General Hospital #280,General Hospital,694 Health Parkway,Chicago,IL,60601,332
281,Phoenix Urgent Care #281,Urgent Care,8668 Health Parkway,Phoenix,AZ,85001,144
282,Dallas Urgent Care #282,Urgent Care,5109 Health Parkway,Dallas,TX,75201,272
283,San Diego Diagnostic Center #283,Diagnostic Center,6475 Health Parkway,San Diego,CA,92101,101
284,Chicago General Hospital #284,General Hospital,5483 Health Parkway,Chicago,IL,60601,743
285,Philadelphia Diagnostic Center #285,Diagnostic Center,7923 Health Parkway,Philadelphia,PA,19101,715
286,Dallas General Hospital #286,General Hospital,8648 Health Parkway,Dallas,TX,75201,176
287,Dallas Urgent Care #287,Urgent Care,1720 Health Parkway,Dallas,TX,75201,601
288,San Jose Diagnostic Center #288,Diagnostic Center,9455 Health Parkway,San Jose,CA,95101,324
289,Jacksonville Specialty Clinic #289,Specialty Clinic,6950 Health Parkway,Jacksonville,FL,32201,100
290,Dallas Diagnostic Center #290,Diagnostic Center,2524 Health Parkway,Dallas,TX,75201,177
291,San Jose Diagnostic Center #291,Diagnostic Center,9256 Health Parkway,San Jose,CA,95101,76
292,Phoenix General Hospital #292,General Hospital,5541 Health Parkway,Phoenix,AZ,85001,528
293,Seattle Urgent Care #293,Urgent Care,8208 Health Parkway,Seattle,WA,98101,222
294,San Diego Urgent Care #294,Urgent Care,4101 Health Parkway,San Diego,CA,92101,752
295,New York Urgent Care #295,Urgent Care,3668 Health Parkway,New York,NY,10001,32
296,Dallas Diagnostic Center #296,Diagnostic Center,1317 Health Parkway,Dallas,TX,75201,414
297,Seattle Specialty Clinic #297,Specialty Clinic,4102 Health Parkway,Seattle,WA,98101,300
